net,length_um
_01897_,23.4
_06227_,23.4
_01408_,23.38
_02184_,23.38
_01735_,23.36
_05867_,23.31
_06602_,23.3
_06600_,23.29
_00081_,23.285
_03251_,23.28
_03803_,23.27
_05726_,23.2
_05529_,23.18
_02383_,23.14
_04820_,23.14
_06550_,23.1
acc\[8\]\[5\],23.1
_02729_,23.08
_07232_,23.06
_06365_,23.04
_07247_,23.04
_03429_,23.02
_03553_,23.02
_04139_,23.02
_02429_,23.01
_00896_,22.94
_01580_,22.94
_03634_,22.94
_07176_,22.9
_01573_,22.88
_07088_,22.86
_07211_,22.86
acc\[8\]\[29\],22.86
_06020_,22.82
_06633_,22.815
_04596_,22.8
_05514_,22.77
_01603_,22.76
_01682_,22.76
_03128_,22.74
_03689_,22.72
_04310_,22.72
_03432_,22.705
_01952_,22.68
_05603_,22.675
_04974_,22.66
_02166_,22.62
_01429_,22.58
_01559_,22.58
_04645_,22.58
_01632_,22.56
_04021_,22.56
_03393_,22.54
_05650_,22.54
acc\[12\]\[20\],22.52
_06281_,22.5
acc\[12\]\[17\],22.5
_04055_,22.48
_01037_,22.42
_01792_,22.4
_03486_,22.4
_04661_,22.39
_06527_,22.38
_06815_,22.38
_00379_,22.365
_00371_,22.36
_06501_,22.36
_05258_,22.34
acc\[5\]\[7\],22.34
_01608_,22.3
_05379_,22.3
_06999_,22.28
_00207_,22.26
acc\[3\]\[18\],22.24
_01310_,22.195
_01389_,22.195
_04791_,22.16
_05228_,22.16
_05705_,22.16
_06509_,22.14
_07215_,22.14
_06347_,22.12
_05191_,22.08
_06959_,22.08
acc\[13\]\[18\],22.055
_02117_,22.04
_01256_,22.02
_06872_,22
_04089_,21.98
_04126_,21.98
_04563_,21.96
acc\[1\]\[11\],21.96
acc\[8\]\[18\],21.94
_03897_,21.9
_05687_,21.9
_00974_,21.84
_05886_,21.84
_00274_,21.82
_02168_,21.82
_04905_,21.82
acc\[4\]\[8\],21.82
_03878_,21.8
_03482_,21.76
_03557_,21.74
_04450_,21.68
_01039_,21.66
_01829_,21.66
_05907_,21.66
_03814_,21.6
acc\[13\]\[14\],21.6
_01474_,21.58
_02571_,21.58
_03148_,21.58
_03782_,21.58
_06014_,21.58
_03405_,21.56
_03054_,21.54
_03774_,21.54
_01776_,21.51
_03767_,21.48
_05559_,21.46
_04681_,21.38
_06142_,21.38
_01374_,21.36
_01958_,21.36
_06759_,21.32
_04183_,21.315
_01322_,21.3
_04406_,21.3
_02515_,21.26
_04150_,21.26
_04724_,21.26
_01086_,21.24
_07217_,21.24
_02896_,21.22
_03786_,21.21
_00163_,21.2
_03227_,21.2
_04333_,21.14
acc\[7\]\[10\],21.14
_07179_,21.08
acc\[12\]\[23\],21.06
_02213_,21.04
_02454_,21.01
_05661_,21.01
_02552_,21
_05912_,21
_06319_,20.98
acc\[10\]\[13\],20.98
_03614_,20.94
_03976_,20.9
_04319_,20.9
_06395_,20.9
_03323_,20.86
_04460_,20.855
_06086_,20.84
_06191_,20.8
_03879_,20.76
_02471_,20.66
_05974_,20.66
net49,20.66
acc\[7\]\[19\],20.65
_03699_,20.64
_06179_,20.64
_06226_,20.64
_06546_,20.64
_01925_,20.58
acc\[3\]\[5\],20.58
_03280_,20.54
_05525_,20.52
_05860_,20.52
_05210_,20.5
_06257_,20.46
acc\[0\]\[19\],20.46
_02750_,20.42
_04411_,20.42
_06011_,20.42
acc\[12\]\[13\],20.42
_02388_,20.4
_03254_,20.4
_03724_,20.4
_01817_,20.38
_00185_,20.36
_06892_,20.36
_01618_,20.34
_02332_,20.34
_02361_,20.34
_00064_,20.32
_06813_,20.32
_00333_,20.305
_02386_,20.3
_06810_,20.29
_03333_,20.28
_03779_,20.28
_03352_,20.26
_03516_,20.26
_03188_,20.24
_06019_,20.22
acc\[8\]\[7\],20.22
_00298_,20.2
_01342_,20.16
_03758_,20.16
_05923_,20.16
_02210_,20.14
_02800_,20.14
_03685_,20.14
_06623_,20.14
_03152_,20.12
_04945_,20.12
_01775_,20.1
_07142_,20.1
_05144_,20.06
_06567_,20.06
acc\[11\]\[22\],20.06
_00016_,20.04
_02108_,20.04
_00152_,20.025
_02705_,20.02
_06159_,20
acc\[13\]\[26\],20
_01297_,19.98
_02406_,19.98
_07177_,19.98
acc\[5\]\[5\],19.98
_01272_,19.92
_01283_,19.92
acc\[4\]\[4\],19.92
_01449_,19.9
_02823_,19.9
_04817_,19.88
_05929_,19.84
_04203_,19.82
_05450_,19.82
acc\[2\]\[24\],19.82
acc\[13\]\[24\],19.8
acc\[1\]\[19\],19.78
_02767_,19.765
_00948_,19.76
_06997_,19.76
_04103_,19.72
_01822_,19.665
acc\[8\]\[13\],19.66
_03073_,19.64
_03044_,19.62
_06236_,19.62
_03194_,19.6
_07244_,19.6
_01631_,19.58
_02097_,19.58
_06343_,19.56
_00126_,19.52
_05224_,19.52
_03560_,19.5
_05138_,19.5
_05711_,19.5
_01689_,19.46
_01935_,19.44
_04287_,19.44
_06235_,19.42
acc\[2\]\[10\],19.42
_02185_,19.4
_03074_,19.4
_03708_,19.4
_04418_,19.4
_06490_,19.4
_00957_,19.38
_05254_,19.38
_02026_,19.36
_04783_,19.36
_05543_,19.36
_06514_,19.36
_03894_,19.32
_00357_,19.3
_06722_,19.3
_02636_,19.28
_03988_,19.28
_04658_,19.26
_06584_,19.26
_06978_,19.24
_03366_,19.22
_01417_,19.215
_00222_,19.2
_04471_,19.2
_00953_,19.18
_05405_,19.17
_01418_,19.16
_01251_,19.14
_03891_,19.14
_06665_,19.14
_00932_,19.12
_01915_,19.12
_03494_,19.12
_01312_,19.08
_06050_,19.08
_04970_,19.06
_07206_,19.06
_03765_,19.04
_03781_,19.04
acc\[13\]\[27\],19.04
filter_out[20],19.04
_02212_,19.02
_07046_,19.02
_02687_,18.97
_02364_,18.96
_06587_,18.96
_03318_,18.94
_04877_,18.94
_05932_,18.9
_05424_,18.89
_06173_,18.86
acc\[5\]\[17\],18.86
_01298_,18.84
_01848_,18.84
_04935_,18.84
_06320_,18.84
_00276_,18.82
_06674_,18.82
_03866_,18.78
_05431_,18.78
acc\[8\]\[15\],18.78
_01014_,18.77
_06755_,18.76
_03527_,18.74
acc\[7\]\[24\],18.74
_02251_,18.72
_02575_,18.7
_04279_,18.7
_03091_,18.68
_04005_,18.68
_03556_,18.67
_01457_,18.66
_06229_,18.66
_07096_,18.66
acc\[5\]\[29\],18.66
_00394_,18.62
_01234_,18.62
_05997_,18.62
_04690_,18.6
_06324_,18.6
_06492_,18.6
_03783_,18.56
_02692_,18.55
_01222_,18.54
_02071_,18.54
_02872_,18.54
_06445_,18.54
_01414_,18.52
_04802_,18.52
_06713_,18.52
_06951_,18.48
acc\[11\]\[29\],18.48
_01913_,18.46
_03394_,18.46
_04442_,18.46
_05149_,18.46
_03654_,18.44
_06034_,18.44
_04958_,18.435
_02757_,18.36
_02268_,18.34
_03326_,18.34
_01617_,18.32
_03321_,18.32
_06554_,18.32
acc\[3\]\[7\],18.32
_03509_,18.28
_06574_,18.28
_06945_,18.26
_03231_,18.24
_02331_,18.23
_03455_,18.22
_05745_,18.22
acc\[13\]\[30\],18.22
acc\[12\]\[16\],18.205
_01620_,18.2
_02150_,18.2
_04812_,18.2
_05012_,18.2
acc\[8\]\[30\],18.2
_05815_,18.18
_00939_,18.16
_03927_,18.16
_05977_,18.14
_01428_,18.12
_04467_,18.12
_06508_,18.12
_04691_,18.1
_05550_,18.1
_02988_,18.08
_03622_,18.08
_04734_,18.06
_00239_,18.04
_00907_,18.04
_06053_,18.04
acc\[5\]\[13\],18.04
acc\[2\]\[11\],18.03
acc\[2\]\[6\],18.02
_01012_,18
_03578_,18
_05774_,18
_07231_,18
_04792_,17.98
acc\[12\]\[28\],17.98
_02968_,17.96
_01541_,17.94
_02408_,17.94
_02539_,17.94
_03548_,17.94
_03686_,17.915
_04308_,17.9
_05129_,17.9
_05470_,17.9
_06340_,17.9
_03733_,17.89
_01533_,17.88
_06168_,17.88
_03199_,17.86
_04311_,17.86
_01499_,17.78
_05647_,17.78
_06423_,17.78
_02506_,17.76
_02574_,17.76
_05230_,17.76
_01995_,17.74
_04578_,17.7
_07002_,17.7
_07212_,17.7
_04510_,17.68
_02793_,17.675
_03696_,17.66
_01365_,17.62
_03956_,17.62
_02818_,17.6
_02918_,17.58
_03319_,17.56
acc\[8\]\[31\],17.56
acc\[8\]\[4\],17.56
_02721_,17.54
_04062_,17.54
_05351_,17.54
_01305_,17.52
_03234_,17.52
_06212_,17.52
_06645_,17.52
acc\[10\]\[10\],17.52
_02309_,17.5
_03671_,17.5
_01524_,17.48
_03773_,17.48
_06662_,17.48
acc\[10\]\[18\],17.48
_01515_,17.475
_02032_,17.47
_05588_,17.47
_01587_,17.44
_02173_,17.44
_00213_,17.4
_01746_,17.4
_01781_,17.4
_03513_,17.38
_01487_,17.36
_05606_,17.36
_04539_,17.35
filter_in[5],17.35
_01959_,17.34
_04626_,17.335
_03043_,17.32
_03962_,17.32
_01672_,17.3
_01994_,17.3
_04202_,17.3
net71,17.3
_00850_,17.28
acc\[8\]\[16\],17.28
_02805_,17.26
_03029_,17.26
_04285_,17.26
_00188_,17.24
_02754_,17.24
_05217_,17.23
_03214_,17.205
_01936_,17.2
_05453_,17.2
_05634_,17.2
_04174_,17.18
_01979_,17.16
_04134_,17.16
_05290_,17.14
_01113_,17.13
_04329_,17.13
_05421_,17.12
_05317_,17.1
_05822_,17.1
_06478_,17.1
_04988_,17.08
_01152_,17.06
_03088_,17.06
_04767_,17.06
_06147_,17.06
_06468_,17.06
_06736_,17.06
_01344_,17.04
_01451_,17.04
_02578_,17.04
_03487_,17.04
_06594_,17.04
_05223_,17.03
_07090_,17.02
acc\[3\]\[21\],17.02
_01334_,17
_01143_,16.98
_02643_,16.98
_04723_,16.96
_06022_,16.96
_05776_,16.9
_03340_,16.88
_01264_,16.82
_05430_,16.82
_06187_,16.82
_06935_,16.82
_01755_,16.78
_05327_,16.76
_01726_,16.74
_02053_,16.74
_04789_,16.74
_03447_,16.72
_03800_,16.72
_04112_,16.72
acc\[9\]\[7\],16.695
_02914_,16.68
_05114_,16.68
_05119_,16.68
_05605_,16.68
acc\[9\]\[8\],16.68
_01743_,16.66
_01141_,16.64
_04003_,16.64
_04752_,16.64
_06116_,16.64
_06268_,16.64
_05348_,16.62
_02422_,16.6
_06049_,16.6
_06215_,16.6
_05778_,16.57
_01527_,16.56
_03652_,16.56
_03806_,16.54
_06616_,16.54
_06758_,16.54
_01018_,16.52
_01551_,16.52
_02866_,16.52
_06533_,16.52
acc\[8\]\[20\],16.52
_02047_,16.5
_03660_,16.5
_06334_,16.5
_02785_,16.48
_04327_,16.48
acc\[1\]\[16\],16.46
_03534_,16.44
_01837_,16.42
_03477_,16.42
_06218_,16.42
_02229_,16.4
_02722_,16.4
_03692_,16.4
_04068_,16.4
_06994_,16.4
_02107_,16.36
_05464_,16.36
acc\[1\]\[8\],16.36
_01601_,16.34
_05213_,16.34
_07011_,16.34
_07120_,16.34
_03821_,16.32
_03950_,16.3
_05440_,16.3
_06739_,16.3
_07164_,16.3
_02402_,16.28
_03192_,16.28
_04407_,16.26
_06768_,16.26
_06247_,16.24
_06714_,16.24
_00218_,16.22
_05158_,16.22
_03571_,16.2
_00228_,16.18
_02584_,16.18
_03238_,16.18
_01236_,16.16
_01801_,16.16
_01816_,16.16
_02091_,16.16
_02376_,16.16
_07143_,16.16
_03849_,16.14
_04069_,16.14
acc\[3\]\[16\],16.14
_01846_,16.1
_06975_,16.1
_03872_,16.08
_03981_,16.08
_05198_,16.07
_01677_,16.06
_06456_,16.04
_01225_,16.02
_03666_,16.02
_04908_,16
_04699_,15.98
_06446_,15.98
_06940_,15.98
_03734_,15.96
_03746_,15.96
_00844_,15.94
_00909_,15.94
_02713_,15.94
_03332_,15.94
_00865_,15.9
_03918_,15.9
_05746_,15.9
_01594_,15.86
_02678_,15.86
_04853_,15.86
_06001_,15.86
_01532_,15.85
_04071_,15.84
_07156_,15.84
_02327_,15.83
_02915_,15.82
_03690_,15.815
_04687_,15.8
_05186_,15.8
_02903_,15.78
_06656_,15.78
_04770_,15.775
_00187_,15.76
_02755_,15.76
_03065_,15.76
_05562_,15.76
_01351_,15.74
_05659_,15.74
_06568_,15.74
_07158_,15.74
_00261_,15.72
_02472_,15.72
_03294_,15.72
_05584_,15.72
_06927_,15.72
_01340_,15.7
_00947_,15.68
_02699_,15.68
acc\[7\]\[20\],15.68
_02572_,15.64
_05008_,15.64
_05370_,15.64
_07050_,15.64
_02832_,15.62
_03679_,15.615
_01046_,15.6
_03993_,15.6
_05215_,15.6
_05393_,15.59
_06270_,15.59
_02214_,15.56
_02912_,15.56
_03092_,15.56
_03427_,15.56
_04376_,15.56
acc\[7\]\[9\],15.56
_01884_,15.54
_05406_,15.54
_07063_,15.54
_04466_,15.52
_04899_,15.52
_05759_,15.52
_06443_,15.52
_06995_,15.52
_07191_,15.5
acc\[12\]\[18\],15.5
_02784_,15.48
_01575_,15.47
_03030_,15.46
_04748_,15.46
_05465_,15.46
net64,15.46
_01673_,15.44
_03033_,15.44
_04290_,15.44
acc\[5\]\[27\],15.4
_02432_,15.39
_04868_,15.38
_05472_,15.38
_05901_,15.38
_04431_,15.36
_06704_,15.36
_03312_,15.355
_00348_,15.34
_02407_,15.34
_06980_,15.34
_02662_,15.32
_03131_,15.32
_01050_,15.3
_02858_,15.3
_05770_,15.3
_06134_,15.3
_03691_,15.29
_04594_,15.28
_04651_,15.28
_05159_,15.26
_04583_,15.24
_07228_,15.24
_04334_,15.22
_04730_,15.22
_05111_,15.22
_07139_,15.22
_01399_,15.18
_04499_,15.14
_05501_,15.14
_05599_,15.14
_06136_,15.14
_06433_,15.14
acc\[10\]\[11\],15.14
_03040_,15.12
_03365_,15.12
_05185_,15.12
_06032_,15.12
_02655_,15.1
_03410_,15.1
_03980_,15.1
_04189_,15.1
_04629_,15.1
_04709_,15.1
_05615_,15.1
net58,15.1
_06497_,15.08
_05540_,15.075
_01109_,15.06
_03827_,15.06
_03329_,15.02
_03609_,15.02
_03994_,15.02
_05722_,15.02
acc\[2\]\[28\],15.02
_02731_,15
_06467_,15
_03034_,14.98
_04300_,14.98
_01184_,14.94
_01443_,14.94
_02693_,14.94
_04489_,14.94
_00280_,14.92
_07213_,14.92
_01633_,14.9
_02567_,14.9
_06128_,14.9
_02724_,14.88
_04357_,14.88
_02601_,14.86
_02611_,14.86
_02679_,14.86
_04408_,14.86
_04887_,14.86
_05415_,14.86
_06248_,14.86
_03308_,14.82
_04081_,14.82
_04232_,14.82
_04717_,14.82
_03722_,14.8
_06431_,14.8
_07214_,14.785
_04099_,14.78
_05804_,14.78
_06054_,14.78
_00838_,14.76
_01318_,14.76
_01361_,14.76
_02638_,14.76
_06918_,14.76
_03144_,14.74
_03524_,14.74
_05533_,14.74
_06439_,14.74
_02895_,14.72
_05604_,14.72
_06822_,14.72
_05053_,14.7
_07016_,14.7
_04250_,14.69
_05831_,14.68
acc\[3\]\[6\],14.68
_01128_,14.66
_03291_,14.66
_03702_,14.66
_05343_,14.66
_06424_,14.66
_03094_,14.64
_04620_,14.64
_05212_,14.64
_05917_,14.64
_07071_,14.64
_01437_,14.635
_05546_,14.635
_02363_,14.62
_03298_,14.62
_03314_,14.62
_05827_,14.62
_07174_,14.62
_01865_,14.615
_02121_,14.6
_02837_,14.6
_04209_,14.6
_05002_,14.6
_03267_,14.58
_07166_,14.58
_00920_,14.56
_03464_,14.52
_04338_,14.515
_01281_,14.5
_01302_,14.5
_04960_,14.5
_02863_,14.48
_04020_,14.48
_06276_,14.48
_06406_,14.48
_07069_,14.48
_00023_,14.46
acc\[14\]\[12\],14.46
_03999_,14.44
acc\[4\]\[19\],14.44
_00377_,14.42
_04304_,14.42
_06595_,14.42
acc\[9\]\[13\],14.42
_02932_,14.4
_02463_,14.38
_03934_,14.38
filter_in[3],14.37
_01818_,14.36
_05669_,14.36
_02965_,14.34
_03420_,14.34
_03824_,14.34
_06225_,14.34
_07037_,14.34
_06775_,14.32
_02486_,14.3
_02516_,14.3
_04332_,14.3
_05583_,14.3
_00880_,14.26
acc\[9\]\[30\],14.26
_01612_,14.24
_01759_,14.24
_02299_,14.235
_05698_,14.22
_05911_,14.22
_06291_,14.22
_04980_,14.2
_02795_,14.19
_02888_,14.18
_05105_,14.18
_05253_,14.18
_05883_,14.18
_01526_,14.16
_03799_,14.16
_04060_,14.16
acc\[11\]\[20\],14.16
_01165_,14.14
_01279_,14.14
_03204_,14.14
_04393_,14.14
_06079_,14.14
filter_out[27],14.13
_02703_,14.12
_06865_,14.12
_05643_,14.115
_02909_,14.1
_03961_,14.1
_06850_,14.1
_01339_,14.08
_02101_,14.08
_04922_,14.08
_05234_,14.08
_01393_,14.06
_02305_,14.06
_02307_,14.06
_05080_,14.06
_04302_,14.04
_04937_,14.02
_04744_,14.01
acc\[7\]\[12\],14
_04325_,13.98
_05667_,13.98
_05162_,13.97
_03540_,13.96
_04688_,13.96
_06061_,13.96
acc\[1\]\[20\],13.96
acc\[4\]\[20\],13.96
_00784_,13.94
_03053_,13.94
_03919_,13.94
_04419_,13.94
_05306_,13.94
_05410_,13.94
_05789_,13.94
_06056_,13.94
_06076_,13.94
_01859_,13.92
_03150_,13.92
_04695_,13.92
_01248_,13.88
_01777_,13.88
_02518_,13.88
_05521_,13.88
_05538_,13.88
acc\[9\]\[29\],13.88
_02808_,13.86
_03095_,13.86
_01392_,13.84
_02341_,13.84
_02836_,13.84
_05649_,13.84
_06040_,13.84
_07197_,13.84
_01795_,13.82
_02058_,13.82
_02553_,13.82
_04751_,13.82
_05660_,13.82
_02084_,13.815
_04860_,13.8
_05005_,13.8
_06821_,13.8
_02390_,13.78
_03741_,13.78
_05400_,13.78
_02317_,13.76
_03145_,13.76
_03220_,13.76
_06201_,13.76
acc\[8\]\[11\],13.76
_01951_,13.74
filter_out[4],13.74
net57,13.74
_01576_,13.72
_02569_,13.72
_02859_,13.72
_03929_,13.72
_04268_,13.72
_04901_,13.72
_06275_,13.72
_06689_,13.72
_06860_,13.72
_01350_,13.7
_03055_,13.7
_03370_,13.7
_04622_,13.7
_05965_,13.7
_01419_,13.68
_02970_,13.66
_04045_,13.66
_03859_,13.64
_01505_,13.62
_02414_,13.62
_02496_,13.62
_01398_,13.6
_01819_,13.6
_02735_,13.6
_02751_,13.6
_03559_,13.6
_03784_,13.6
_06202_,13.59
_04482_,13.58
_06692_,13.58
_01771_,13.56
_02637_,13.56
_04350_,13.56
_05439_,13.56
_06525_,13.56
_01615_,13.54
_05252_,13.54
_06592_,13.54
_06752_,13.54
_04932_,13.53
_02670_,13.52
_03594_,13.52
_05620_,13.52
_07194_,13.52
acc\[13\]\[28\],13.52
_06453_,13.51
_03207_,13.505
_00166_,13.5
_03510_,13.5
_07168_,13.5
acc\[1\]\[18\],13.5
_04443_,13.48
_05171_,13.48
_03098_,13.46
_06206_,13.46
_02010_,13.44
_03906_,13.44
_02776_,13.42
_05154_,13.42
acc\[3\]\[14\],13.42
_03083_,13.4
_03807_,13.4
_05857_,13.4
_04750_,13.395
_01240_,13.38
_03058_,13.38
_05251_,13.38
_05336_,13.38
_05833_,13.38
_02159_,13.36
_02663_,13.36
_03681_,13.36
_07223_,13.36
_01719_,13.34
_02296_,13.34
_03223_,13.34
_03711_,13.34
_06141_,13.34
_06598_,13.34
_00919_,13.335
_03537_,13.32
_01688_,13.3
_05674_,13.28
_01939_,13.26
_02680_,13.26
_03159_,13.26
_03898_,13.26
_04927_,13.26
_04997_,13.26
_05784_,13.26
_06989_,13.26
_02290_,13.255
_01258_,13.24
_03031_,13.24
acc\[12\]\[27\],13.24
_04555_,13.235
_03753_,13.225
_05613_,13.22
_07074_,13.22
_01299_,13.2
_01397_,13.2
_06124_,13.2
_06905_,13.2
acc\[13\]\[16\],13.2
_05221_,13.18
_00347_,13.16
_04281_,13.16
_04452_,13.16
net81,13.16
_01100_,13.14
_05155_,13.14
_01988_,13.12
_04604_,13.12
_04969_,13.12
_06096_,13.12
_06977_,13.12
acc\[10\]\[17\],13.12
acc\[2\]\[27\],13.12
_06254_,13.1
_06943_,13.1
_00386_,13.08
_02100_,13.08
_03974_,13.08
_05112_,13.08
acc\[10\]\[5\],13.08
_06002_,13.075
_02090_,13.06
_02445_,13.06
_05181_,13.06
_02719_,13.04
_03414_,13.04
_05489_,13.04
_05590_,13.04
acc\[10\]\[19\],13.04
_01345_,13.02
_01522_,13.02
_04186_,13.02
_04796_,13.02
_05754_,13.02
_06266_,13.01
_01239_,13
_02404_,13
_02609_,13
_03368_,13
_04657_,13
_06240_,13
acc\[7\]\[8\],13
_05048_,12.995
_02645_,12.98
_03295_,12.98
_00965_,12.96
_01647_,12.96
_02105_,12.96
_01346_,12.92
_05298_,12.92
_05498_,12.92
_05986_,12.92
_05811_,12.9
_06506_,12.9
_04866_,12.89
_01960_,12.88
_04505_,12.88
_05153_,12.88
_03006_,12.87
_01036_,12.86
_03016_,12.86
_06031_,12.86
_06121_,12.86
_03304_,12.84
_04519_,12.84
_04976_,12.84
_06166_,12.84
acc\[8\]\[10\],12.84
_01232_,12.8
_02453_,12.8
_02708_,12.8
_02810_,12.8
_05285_,12.8
_06310_,12.8
_02421_,12.78
_04091_,12.78
_05920_,12.78
_05694_,12.76
_00324_,12.74
_04472_,12.74
_02898_,12.72
_04266_,12.72
_06473_,12.72
acc\[2\]\[4\],12.7
acc\[2\]\[5\],12.7
_00979_,12.68
_01185_,12.68
_02760_,12.68
_03391_,12.68
_01343_,12.66
_01653_,12.66
_01971_,12.66
_02488_,12.66
_01188_,12.64
_06283_,12.64
_06591_,12.64
_06082_,12.63
_03384_,12.62
_03539_,12.62
_01471_,12.6
_02827_,12.6
_03130_,12.6
_02817_,12.58
_02884_,12.58
_04187_,12.58
_05270_,12.58
_01964_,12.56
_05264_,12.56
_01465_,12.54
_02838_,12.54
_04994_,12.54
_05592_,12.53
_02441_,12.52
_02532_,12.52
_04404_,12.52
acc\[12\]\[29\],12.515
_02551_,12.5
_03190_,12.5
_03745_,12.5
_02110_,12.48
_02175_,12.48
_02324_,12.48
_04785_,12.48
_05193_,12.48
_01242_,12.46
_01280_,12.46
_01495_,12.46
_01880_,12.46
_02081_,12.46
_02398_,12.46
_02654_,12.46
_02756_,12.46
_02904_,12.46
_03656_,12.46
_04211_,12.46
_05397_,12.46
_06260_,12.46
_06805_,12.46
_01347_,12.44
_03965_,12.44
_05047_,12.44
_06338_,12.44
_01553_,12.42
_05402_,12.42
_05686_,12.42
_05737_,12.42
_05762_,12.42
_06298_,12.42
_04416_,12.415
_03643_,12.4
_03884_,12.4
_07070_,12.4
acc\[11\]\[17\],12.4
_01610_,12.38
_05023_,12.38
_03293_,12.36
net47,12.36
_02891_,12.35
_03491_,12.35
_01208_,12.34
_02477_,12.34
_03042_,12.34
_03187_,12.34
_03449_,12.34
_03497_,12.34
_03511_,12.34
_03715_,12.34
_04077_,12.34
_05266_,12.34
_06047_,12.34
_06477_,12.34
_06677_,12.34
_06953_,12.34
_06588_,12.32
_07150_,12.315
_01292_,12.3
_01304_,12.3
_01828_,12.3
_02773_,12.3
_03434_,12.3
_04608_,12.3
_04874_,12.3
_00020_,12.28
_00088_,12.28
_01386_,12.28
_02495_,12.28
_03411_,12.28
_06530_,12.28
_00237_,12.26
_01308_,12.26
_04073_,12.26
_04462_,12.26
_05170_,12.26
_06178_,12.26
_06572_,12.26
_06948_,12.26
_07188_,12.26
filter_out[10],12.26
filter_out[12],12.26
filter_out[14],12.26
filter_out[19],12.26
filter_out[6],12.26
_00208_,12.24
_00916_,12.24
_07080_,12.24
_02178_,12.22
_03334_,12.22
_05993_,12.22
acc\[2\]\[7\],12.22
_01287_,12.2
_01519_,12.2
_05202_,12.2
_03899_,12.18
_04010_,12.18
_06306_,12.18
acc\[4\]\[10\],12.18
_01492_,12.16
_01504_,12.16
_02460_,12.16
_05145_,12.16
_03246_,12.14
_03547_,12.14
_06949_,12.14
_06611_,12.13
_01349_,12.12
_02275_,12.12
_03191_,12.12
_05565_,12.12
_06984_,12.12
_02297_,12.1
_02668_,12.1
_01716_,12.08
_01825_,12.08
_02399_,12.08
_04605_,12.08
_06183_,12.08
acc\[12\]\[6\],12.08
_04801_,12.06
_01422_,12.04
_02513_,12.04
_03672_,12.04
_03515_,12.02
_04621_,12.02
_06529_,12.02
_07160_,12.02
filter_out[13],12.02
filter_out[26],12.02
filter_out[5],12.02
_06101_,12.01
_04904_,12
_05041_,12
_03886_,11.995
_06647_,11.98
_07049_,11.98
filter_out[18],11.97
_06195_,11.96
_01075_,11.95
_00263_,11.94
_01510_,11.94
_03265_,11.94
_04012_,11.94
_05684_,11.94
_01159_,11.92
_02927_,11.92
_04777_,11.9
_06708_,11.9
filter_out[11],11.89
_01556_,11.88
_02114_,11.88
_02577_,11.88
_02848_,11.88
_05200_,11.88
_05808_,11.88
_06413_,11.88
_07097_,11.88
_01482_,11.86
_04589_,11.86
_05362_,11.86
_06544_,11.86
acc\[2\]\[30\],11.86
_00867_,11.84
_02357_,11.84
_02841_,11.84
_04811_,11.84
_06402_,11.84
_06428_,11.83
_04379_,11.82
_04544_,11.82
_06466_,11.82
_06682_,11.82
_06794_,11.82
_01548_,11.8
_01745_,11.8
_05038_,11.8
_03813_,11.78
_04579_,11.78
_04818_,11.78
_05494_,11.78
_06827_,11.78
_07155_,11.78
_01883_,11.76
_02467_,11.76
_04251_,11.76
_04910_,11.76
_01953_,11.74
_02280_,11.74
_02287_,11.74
_05717_,11.74
_01044_,11.72
_05700_,11.72
_06843_,11.72
_01324_,11.71
_02218_,11.7
_02308_,11.7
_03302_,11.7
_04919_,11.7
_06917_,11.7
_04180_,11.68
_06416_,11.68
_06854_,11.68
filter_out[15],11.68
filter_out[23],11.68
filter_out[25],11.68
filter_out[28],11.68
filter_out[29],11.68
filter_out[31],11.68
filter_out[7],11.68
_01262_,11.66
_01826_,11.66
_03735_,11.66
_03959_,11.66
_05054_,11.66
_06228_,11.66
_07151_,11.66
_01137_,11.64
_04141_,11.64
_04210_,11.64
_05273_,11.64
_05626_,11.64
_01481_,11.62
_01655_,11.62
_05182_,11.62
_06784_,11.62
_00183_,11.58
_01579_,11.58
_03498_,11.58
_05749_,11.58
_06314_,11.58
_06848_,11.58
_02186_,11.56
_03845_,11.56
filter_in[14],11.56
_01969_,11.54
_04306_,11.54
_04762_,11.54
_04838_,11.54
_06519_,11.54
acc\[10\]\[12\],11.54
_02055_,11.52
_02993_,11.52
_03535_,11.52
_03833_,11.52
_04254_,11.52
_06923_,11.52
_03051_,11.51
_04926_,11.51
_01220_,11.5
_02355_,11.5
_03521_,11.5
_03562_,11.5
_05842_,11.5
_06630_,11.5
_03263_,11.485
_04197_,11.48
_05678_,11.48
_03588_,11.46
_03991_,11.46
_06414_,11.46
_01452_,11.45
_01788_,11.44
_03349_,11.44
_03627_,11.44
_05906_,11.44
_06709_,11.44
_07185_,11.44
filter_in[13],11.44
filter_in[9],11.44
_04654_,11.43
_00985_,11.42
_01842_,11.42
_03135_,11.42
_04283_,11.42
_04347_,11.42
_06671_,11.42
_02807_,11.4
_03439_,11.4
acc\[2\]\[22\],11.4
_00113_,11.38
_00365_,11.38
_01517_,11.38
_00063_,11.36
_00211_,11.36
_00244_,11.36
_01391_,11.36
_02568_,11.36
_03626_,11.36
_03419_,11.35
_01787_,11.34
_03460_,11.34
_03718_,11.34
_04412_,11.34
_05484_,11.335
_00177_,11.32
_00336_,11.32
_02501_,11.32
_02828_,11.32
_05031_,11.32
_06613_,11.32
_00927_,11.3
_01741_,11.3
_02576_,11.3
_02742_,11.3
_02889_,11.3
_04044_,11.3
_04481_,11.3
_05896_,11.3
