net,length_um
acc\[14\]\[7\],92.18
_01260_,91.54
_03658_,91.49
_03604_,91.44
clknet_leaf_47_clk,91.24
_05197_,90.88
clknet_leaf_41_clk,90.88
clknet_leaf_9_clk,90.86
clknet_leaf_13_clk,90.77
_02621_,90.3
_01175_,90.18
acc\[4\]\[21\],90
_03103_,89.78
_04618_,89.64
_05652_,89.635
_07145_,89.6
_00195_,89.56
_01149_,89.4
_01701_,89.38
clknet_leaf_34_clk,89.28
clknet_leaf_62_clk,89.24
_02905_,89.22
clknet_leaf_10_clk,89.12
_05183_,89.02
_04149_,88.88
clknet_leaf_14_clk,88.77
_05022_,88.735
_01540_,88.64
clknet_leaf_8_clk,87.78
_05679_,87.32
clknet_leaf_65_clk,87.26
clknet_leaf_28_clk,87.2
net78,86.8
_06981_,86.56
_05835_,85.88
_00925_,85.1
_01479_,84.835
_03085_,84.75
_00055_,84.65
_03828_,84.42
_02448_,84.28
_02347_,83.92
_04018_,83.32
_03198_,83.3
_00329_,83.26
_01874_,83.18
clknet_leaf_4_clk,83.12
clknet_leaf_20_clk,83.1
clknet_leaf_27_clk,82.72
_06417_,82.5
_02614_,82.06
_00963_,81.89
clknet_leaf_33_clk,81.15
acc\[9\]\[21\],81
_01981_,80.6
_06058_,80.54
_06059_,80.48
_03197_,80.2
_02765_,79.22
_06176_,79.2
_04902_,78.76
_02003_,78.48
_02640_,78.4
_03600_,78.34
_04133_,78.14
_05725_,77.29
clknet_leaf_58_clk,77.24
_02615_,77.22
clknet_leaf_23_clk,77.1
_01464_,76.94
clknet_leaf_18_clk,76.78
_02202_,76.62
_01157_,76.22
clknet_leaf_48_clk,76.12
acc\[4\]\[22\],75.24
clknet_leaf_43_clk,75.24
_04368_,75.16
_05856_,75.02
_02681_,74.98
_01520_,74.62
_06326_,74.6
_03005_,74.275
clknet_leaf_2_clk,73.86
_04636_,73.72
_06716_,73.62
_00971_,73.6
_00054_,73.52
acc\[4\]\[23\],73.46
_06252_,73.26
_01282_,73.18
_05900_,72.96
acc\[4\]\[11\],72.84
_06489_,72.46
_06426_,72.26
_04398_,71.52
_02830_,71.5
_00937_,70.94
_03174_,70.78
clknet_leaf_31_clk,70.54
_00842_,70.32
_05954_,70.28
clknet_leaf_67_clk,70.1
_05878_,69.98
_04207_,69.54
_02161_,69.33
_04009_,69.14
_02677_,68.62
_06543_,68.62
_04573_,68.27
_02039_,68.02
_06072_,67.98
clknet_leaf_64_clk,67.86
_05681_,67.74
acc\[10\]\[26\],67.455
_06660_,67.3
clknet_leaf_54_clk,67.24
clknet_leaf_25_clk,66.9
_03816_,66.82
clknet_leaf_44_clk,66.46
_06551_,66.4
clknet_leaf_5_clk,66.32
_05757_,66.14
_01201_,66.08
_02650_,65.8
_04742_,65.76
_01001_,65.64
_06505_,65.64
_01206_,65.56
_04448_,65.4
_01271_,65.24
_02627_,65.18
_04035_,65.06
clknet_leaf_39_clk,65.06
_05793_,65
clknet_leaf_45_clk,64.84
_00998_,64.58
_02396_,64.56
_04632_,64.42
_05850_,64.36
clknet_leaf_26_clk,64.16
clknet_leaf_37_clk,64.08
_01406_,63.68
_07079_,63.66
_05063_,63.32
_04153_,62.98
_02839_,62.7
_02061_,62.66
clknet_leaf_49_clk,62.66
clknet_leaf_59_clk,62.66
_01170_,62.56
acc\[10\]\[28\],62.26
_04427_,62.02
clknet_leaf_46_clk,62.02
_05938_,61.76
_03768_,61.71
_01196_,61.66
_04198_,61.52
